carat,cut,color,clarity,depth,table,price,x,y,z,xy,predictions
0.24,Premium,G,VVS1,62.3,59.0,554,3.95,3.92,2.45,1.0076530612244898,555.7
0.24,Premium,H,VVS1,61.2,58.0,554,4.01,3.96,2.44,1.0126262626262625,571.8
0.24,Premium,H,VVS1,60.8,59.0,554,4.02,4.0,2.44,1.005,567.7
0.24,Premium,H,VVS2,60.7,58.0,554,4.07,4.04,2.46,1.0074257425742574,567.8
0.32,Premium,I,SI1,62.9,58.0,554,4.35,4.33,2.73,1.0046189376443417,554.0
0.7,Ideal,E,SI1,62.5,57.0,2757,5.7,5.72,3.57,0.9965034965034966,2770.7
0.86,Fair,E,SI2,55.1,69.0,2757,6.45,6.33,3.52,1.018957345971564,2658.5
0.7,Ideal,G,VS2,61.6,56.0,2757,5.7,5.67,3.5,1.0052910052910053,2728.2
0.71,Very Good,E,VS2,62.4,57.0,2759,5.68,5.73,3.56,0.9912739965095985,2724.7
0.78,Very Good,G,SI2,63.8,56.0,2759,5.81,5.85,3.72,0.9931623931623932,2629.5
0.7,Good,E,VS2,57.5,58.0,2759,5.85,5.9,3.38,0.9915254237288135,2722.1
0.7,Good,F,VS1,59.4,62.0,2759,5.71,5.76,3.4,0.9913194444444444,2814.4
0.96,Fair,F,SI2,66.3,62.0,2759,6.27,5.95,4.07,1.0537815126050418,2609.4
0.73,Very Good,E,SI1,61.6,59.0,2760,5.77,5.78,3.56,0.9982698961937715,2741.1
0.8,Premium,H,SI1,61.5,58.0,2760,5.97,5.93,3.66,1.0067453625632379,2655.4
0.75,Very Good,D,SI1,63.2,56.0,2760,5.8,5.75,3.65,1.008695652173913,2806.9
0.75,Premium,E,SI1,59.9,54.0,2760,6.0,5.96,3.58,1.0067114093959733,2760.0
0.74,Ideal,G,SI1,61.6,55.0,2760,5.8,5.85,3.59,0.9914529914529915,2821.7
0.75,Premium,G,VS2,61.7,58.0,2760,5.85,5.79,3.59,1.0103626943005182,2799.1
0.8,Ideal,I,VS1,62.9,56.0,2760,5.94,5.87,3.72,1.011925042589438,2864.9
0.75,Ideal,G,SI1,62.2,55.0,2760,5.87,5.8,3.63,1.0120689655172415,2630.9
0.8,Premium,G,SI1,63.0,59.0,2760,5.9,5.81,3.69,1.0154905335628228,2900.2
0.74,Ideal,I,VVS2,62.3,55.0,2761,5.77,5.81,3.61,0.9931153184165232,2739.7
0.81,Ideal,F,SI2,58.8,57.0,2761,6.14,6.11,3.6,1.0049099836333877,2686.0
0.59,Ideal,E,VVS2,62.0,55.0,2761,5.38,5.43,3.35,0.990791896869245,2747.4
0.8,Ideal,F,SI2,61.4,57.0,2761,5.96,6.0,3.67,0.9933333333333333,2709.7
0.74,Ideal,E,SI2,62.2,56.0,2761,5.8,5.84,3.62,0.9931506849315068,2781.9
0.9,Premium,I,VS2,63.0,58.0,2761,6.16,6.12,3.87,1.0065359477124183,2936.9
0.74,Very Good,G,SI1,62.2,59.0,2762,5.73,5.82,3.59,0.9845360824742269,2689.4
0.73,Ideal,F,VS2,62.6,56.0,2762,5.77,5.74,3.6,1.0052264808362368,2718.8
0.73,Ideal,F,VS2,62.7,53.0,2762,5.8,5.75,3.62,1.008695652173913,2745.9
0.8,Premium,F,SI2,61.7,58.0,2762,5.98,5.94,3.68,1.0067340067340067,2410.4
0.71,Ideal,G,VS2,62.4,54.0,2762,5.72,5.76,3.58,0.9930555555555556,2702.2
0.7,Ideal,E,VS2,60.7,58.0,2762,5.73,5.76,3.49,0.9947916666666667,2827.0
0.8,Ideal,F,SI2,59.9,59.0,2762,6.01,6.07,3.62,0.9901153212520593,2701.1
0.71,Ideal,D,SI2,62.3,56.0,2762,5.73,5.69,3.56,1.0070298769771528,2497.1
0.74,Ideal,E,SI1,62.3,54.0,2762,5.8,5.83,3.62,0.9948542024013721,2728.5
0.7,Very Good,F,VS2,61.7,63.0,2762,5.64,5.61,3.47,1.0053475935828875,2707.9
0.7,Fair,F,VS2,64.5,57.0,2762,5.57,5.53,3.58,1.0072332730560578,2681.6
0.7,Fair,F,VS2,65.3,55.0,2762,5.63,5.58,3.66,1.0089605734767024,2731.7
0.7,Premium,F,VS2,61.6,60.0,2762,5.65,5.59,3.46,1.0107334525939178,2736.8
0.91,Premium,H,SI1,61.4,56.0,2763,6.09,5.97,3.7,1.020100502512563,2987.7
0.61,Very Good,D,VVS2,59.6,57.0,2763,5.56,5.58,3.32,0.996415770609319,2888.5
0.91,Fair,H,SI2,64.4,57.0,2763,6.11,6.09,3.93,1.0032840722495895,3310.1
0.91,Fair,H,SI2,65.7,60.0,2763,6.03,5.99,3.95,1.006677796327212,2837.8
0.77,Ideal,H,VS2,62.0,56.0,2763,5.89,5.86,3.64,1.0051194539249146,3022.3
0.71,Very Good,D,SI1,63.6,58.0,2764,5.64,5.68,3.6,0.9929577464788732,2744.1
0.71,Ideal,D,SI1,61.9,59.0,2764,5.69,5.72,3.53,0.9947552447552449,2791.7
0.7,Very Good,E,VS2,62.6,60.0,2765,5.62,5.65,3.53,0.9946902654867256,2783.6
0.77,Very Good,H,VS1,61.3,60.0,2765,5.88,5.9,3.61,0.9966101694915254,2784.1
0.63,Premium,E,VVS1,60.9,60.0,2765,5.52,5.55,3.37,0.9945945945945945,2773.8
0.71,Very Good,F,VS1,60.1,62.0,2765,5.74,5.77,3.46,0.9948006932409014,2881.7
0.71,Premium,F,VS1,61.8,59.0,2765,5.69,5.73,3.53,0.9930191972076788,2826.3
0.76,Ideal,H,SI1,61.2,57.0,2765,5.88,5.91,3.61,0.9949238578680203,2712.2
0.64,Ideal,G,VVS1,61.9,56.0,2766,5.53,5.56,3.43,0.9946043165467627,2819.6
0.71,Premium,G,VS2,60.9,57.0,2766,5.78,5.75,3.51,1.0052173913043478,2757.3
0.71,Premium,G,VS2,59.8,56.0,2766,5.89,5.81,3.5,1.0137693631669535,2749.2
0.7,Very Good,D,VS2,61.8,55.0,2767,5.68,5.72,3.52,0.993006993006993,2805.6
0.7,Very Good,F,VS1,60.0,57.0,2767,5.8,5.87,3.5,0.9880749574105622,2786.2
0.71,Ideal,D,SI2,61.6,55.0,2767,5.74,5.76,3.54,0.9965277777777779,2577.0
0.7,Good,H,VVS2,62.1,64.0,2767,5.62,5.65,3.5,0.9946902654867256,2684.7
0.71,Very Good,G,VS1,63.3,59.0,2768,5.52,5.61,3.52,0.9839572192513367,2799.7
0.73,Very Good,D,SI1,60.2,56.0,2768,5.83,5.87,3.52,0.9931856899488927,2945.0
0.7,Very Good,D,SI1,61.1,58.0,2768,5.66,5.73,3.48,0.987783595113438,2796.3
0.7,Ideal,E,SI1,60.9,57.0,2768,5.73,5.76,3.5,0.9947916666666667,2935.5
0.71,Premium,D,SI2,61.7,59.0,2768,5.71,5.67,3.51,1.0070546737213404,2430.0
0.74,Ideal,I,SI1,61.3,56.0,2769,5.82,5.86,3.57,0.9931740614334471,2726.8
0.71,Premium,D,VS2,62.5,60.0,2770,5.65,5.61,3.52,1.0071301247771836,2949.5
0.73,Premium,G,VS2,61.4,59.0,2770,5.83,5.76,3.56,1.012152777777778,2770.0
0.76,Very Good,F,SI1,62.9,57.0,2770,5.79,5.81,3.65,0.9965576592082617,2737.7
0.76,Ideal,D,SI2,62.4,57.0,2770,5.78,5.83,3.62,0.9914236706689538,2717.3
0.71,Ideal,F,SI1,60.7,56.0,2770,5.77,5.8,3.51,0.9948275862068965,2778.9
0.73,Premium,G,VS2,60.7,58.0,2770,5.87,5.82,3.55,1.0085910652920962,2787.7
0.73,Premium,G,VS1,61.5,58.0,2770,5.79,5.75,3.55,1.0069565217391305,2798.0
0.73,Ideal,D,SI2,59.9,57.0,2770,5.92,5.89,3.54,1.0050933786078098,2718.5
0.73,Premium,G,VS2,59.2,59.0,2770,5.92,5.87,3.49,1.008517887563884,2757.8
0.72,Very Good,H,VVS2,60.3,56.0,2771,5.81,5.83,3.51,0.9965694682675814,2798.2
0.73,Very Good,F,SI1,61.7,60.0,2771,5.79,5.82,3.58,0.9948453608247422,2716.8
0.71,Ideal,G,VS2,61.9,57.0,2771,5.73,5.77,3.56,0.9930675909878685,2713.7
0.79,Ideal,F,SI2,61.9,55.0,2771,5.97,5.92,3.68,1.0084459459459458,2635.5
0.73,Very Good,H,VVS1,60.4,59.0,2772,5.83,5.89,3.54,0.9898132427843803,2904.0
0.8,Very Good,F,SI2,61.0,57.0,2772,6.01,6.03,3.67,0.9966832504145936,2654.4
0.58,Ideal,G,VVS1,61.5,55.0,2772,5.39,5.44,3.33,0.9908088235294117,2314.0
0.58,Ideal,F,VVS1,61.7,56.0,2772,5.33,5.37,3.3,0.9925512104283054,2811.4
0.71,Good,E,VS2,59.2,61.0,2772,5.8,5.88,3.46,0.9863945578231292,2844.9
0.75,Ideal,D,SI2,61.3,56.0,2773,5.85,5.89,3.6,0.9932088285229203,2770.2
0.7,Premium,D,VS2,58.0,62.0,2773,5.87,5.78,3.38,1.0155709342560553,2833.8
1.17,Very Good,J,I1,60.2,61.0,2774,6.83,6.9,4.13,0.989855072463768,2824.9
0.6,Ideal,E,VS1,61.7,55.0,2774,5.41,5.44,3.35,0.994485294117647,2326.3
0.7,Ideal,E,SI1,62.7,55.0,2774,5.68,5.74,3.58,0.989547038327526,2796.4
0.83,Good,I,VS2,64.6,54.0,2774,5.85,5.88,3.79,0.9948979591836734,2607.3
0.74,Very Good,F,VS2,61.3,61.0,2775,5.8,5.84,3.57,0.9931506849315068,2942.5
0.72,Very Good,G,VS2,63.7,56.4,2776,5.62,5.69,3.61,0.9876977152899824,2747.2
0.71,Premium,E,VS2,62.7,58.0,2776,5.74,5.68,3.58,1.0105633802816902,2817.2
0.71,Ideal,E,VS2,62.2,57.0,2776,5.79,5.62,3.55,1.0302491103202847,2821.0
0.54,Ideal,E,VVS2,61.6,56.0,2776,5.25,5.27,3.24,0.9962049335863379,2690.9
0.54,Ideal,E,VVS2,61.5,57.0,2776,5.24,5.26,3.23,0.9961977186311788,2697.3
0.72,Ideal,G,SI1,61.8,56.0,2776,5.72,5.75,3.55,0.9947826086956522,2745.7
0.72,Ideal,G,SI1,60.7,56.0,2776,5.79,5.82,3.53,0.9948453608247422,2822.6
0.72,Good,G,VS2,59.7,60.5,2776,5.8,5.84,3.47,0.9931506849315068,2724.4
0.71,Ideal,G,SI1,60.5,56.0,2776,5.8,5.76,3.5,1.0069444444444444,2718.0
0.7,Very Good,D,VS1,62.7,58.0,2777,5.66,5.73,3.57,0.987783595113438,2857.8
0.71,Premium,F,VS2,62.1,58.0,2777,5.67,5.7,3.53,0.9947368421052631,2780.5
0.71,Very Good,F,VS2,62.8,57.0,2777,5.64,5.69,3.56,0.9912126537785587,2813.7
0.71,Good,F,VS2,63.8,58.0,2777,5.61,5.64,3.59,0.9946808510638299,2779.4
0.71,Good,F,VS2,57.8,60.0,2777,5.87,5.9,3.4,0.9949152542372881,2811.5
0.7,Ideal,E,VS2,62.1,55.0,2777,5.7,5.67,3.53,1.0052910052910053,2736.4
0.7,Premium,E,VS2,61.1,60.0,2777,5.71,5.64,3.47,1.0124113475177305,2807.3
0.7,Premium,E,SI1,60.0,59.0,2777,5.79,5.75,3.46,1.0069565217391305,2694.7
0.7,Premium,E,SI1,61.2,57.0,2777,5.73,5.68,3.49,1.0088028169014085,2718.6
0.7,Premium,E,SI1,62.7,59.0,2777,5.67,5.63,3.54,1.0071047957371226,2598.6
0.7,Premium,E,SI1,61.0,57.0,2777,5.73,5.68,3.48,1.0088028169014085,2711.1
0.7,Premium,E,SI1,61.0,58.0,2777,5.78,5.72,3.51,1.0104895104895106,2716.7
0.7,Ideal,E,SI1,61.4,57.0,2777,5.76,5.7,3.52,1.0105263157894737,2566.2
0.72,Premium,F,SI1,61.8,61.0,2777,5.82,5.71,3.56,1.0192644483362523,2370.9
0.7,Very Good,E,SI1,59.9,63.0,2777,5.76,5.7,3.43,1.0105263157894737,2726.8
0.7,Premium,E,SI1,61.3,58.0,2777,5.71,5.68,3.49,1.005281690140845,2765.9
0.7,Premium,E,SI1,60.5,58.0,2777,5.77,5.74,3.48,1.0052264808362368,2763.8
0.7,Good,E,VS2,64.1,59.0,2777,5.64,5.59,3.6,1.0089445438282647,2704.7
0.98,Fair,H,SI2,67.9,60.0,2777,6.05,5.97,4.08,1.0134003350083751,2703.1
0.78,Premium,F,SI1,62.4,58.0,2777,5.83,5.8,3.63,1.0051724137931035,2746.9
0.7,Very Good,E,SI1,63.2,60.0,2777,5.6,5.51,3.51,1.0163339382940109,2394.8
0.52,Ideal,F,VVS1,61.3,55.0,2778,5.19,5.22,3.19,0.9942528735632186,2764.1
0.73,Very Good,H,VS2,60.8,56.0,2779,5.82,5.84,3.55,0.9965753424657535,2623.0
0.74,Ideal,E,SI1,61.7,56.0,2779,5.84,5.8,3.59,1.006896551724138,2789.7
0.7,Very Good,F,VS2,63.6,57.0,2780,5.61,5.65,3.58,0.9929203539823008,2616.8
0.77,Premium,G,VS2,61.2,58.0,2780,5.9,5.93,3.62,0.9949409780775718,2784.6
0.71,Ideal,F,VS2,62.1,54.0,2780,5.68,5.72,3.54,0.993006993006993,3219.3
0.74,Ideal,G,VS1,61.5,55.0,2780,5.81,5.86,3.59,0.9914675767918087,2839.2
0.7,Ideal,G,VS1,61.4,59.0,2780,5.64,5.73,3.49,0.9842931937172773,3077.0
1.01,Premium,F,I1,61.8,60.0,2781,6.39,6.36,3.94,1.0047169811320753,2922.6
0.77,Ideal,H,SI1,62.2,56.0,2781,5.83,5.88,3.64,0.9914965986394558,3015.0
0.78,Ideal,H,SI1,61.2,56.0,2781,5.92,5.99,3.64,0.9883138564273789,2918.9
0.72,Very Good,H,VS1,60.6,63.0,2782,5.83,5.76,3.51,1.012152777777778,2728.5
0.53,Very Good,D,VVS2,57.5,64.0,2782,5.34,5.37,3.08,0.994413407821229,2657.1
0.76,Ideal,G,VS2,61.3,56.0,2782,5.9,5.94,3.63,0.9932659932659933,2923.4
0.7,Good,E,VS1,57.2,62.0,2782,5.81,5.77,3.31,1.0069324090121317,2872.3
0.7,Premium,E,VS1,62.9,60.0,2782,5.62,5.54,3.51,1.0144404332129964,2767.8
0.75,Very Good,D,SI2,63.1,58.0,2782,5.78,5.73,3.63,1.0087260034904013,2782.0
0.72,Ideal,D,SI1,60.8,57.0,2782,5.76,5.75,3.5,1.0017391304347825,2786.0
0.72,Premium,D,SI1,62.7,59.0,2782,5.73,5.69,3.58,1.0070298769771528,2745.3
0.7,Premium,D,SI1,62.8,60.0,2782,5.68,5.66,3.56,1.0035335689045937,2565.2
0.84,Fair,G,SI1,55.1,67.0,2782,6.39,6.2,3.47,1.0306451612903225,2958.0
0.75,Premium,F,SI1,61.4,59.0,2782,5.88,5.85,3.6,1.005128205128205,2671.5
0.52,Ideal,F,IF,62.2,55.0,2783,5.14,5.18,3.21,0.9922779922779923,2673.9
0.72,Very Good,F,VS2,63.0,54.0,2784,5.69,5.73,3.6,0.9930191972076788,2801.6
0.79,Very Good,H,VS1,63.7,56.0,2784,5.85,5.92,3.75,0.9881756756756757,2905.8
0.72,Very Good,F,VS2,63.6,58.0,2787,5.66,5.69,3.61,0.9947275922671353,2806.0
0.51,Ideal,F,VVS1,62.0,57.0,2787,5.11,5.15,3.18,0.9922330097087378,2148.7
0.64,Ideal,D,VS1,61.5,56.0,2787,5.54,5.55,3.41,0.9981981981981982,2823.2
0.7,Very Good,H,VVS1,60.5,60.0,2788,5.74,5.77,3.48,0.9948006932409014,2904.5
0.83,Very Good,I,VS1,61.1,60.0,2788,6.07,6.1,3.72,0.9950819672131148,2892.5
0.76,Ideal,I,VVS2,61.8,56.0,2788,5.85,5.87,3.62,0.9965928449744462,2791.6
0.71,Good,D,VS2,63.3,56.0,2788,5.64,5.68,3.58,0.9929577464788732,2967.6
0.77,Good,G,VS1,59.4,64.0,2788,5.97,5.92,3.53,1.0084459459459458,2836.2
0.71,Ideal,F,SI1,62.5,55.0,2788,5.71,5.65,3.55,1.0106194690265486,2623.6
1.01,Fair,E,I1,64.5,58.0,2788,6.29,6.21,4.03,1.0128824476650564,2652.8
1.01,Premium,H,SI2,62.7,59.0,2788,6.31,6.22,3.93,1.0144694533762058,3942.5
0.77,Good,F,SI1,64.2,52.0,2789,5.81,5.77,3.72,1.0069324090121317,2682.1
0.76,Good,E,SI1,63.7,54.0,2789,5.76,5.85,3.7,0.9846153846153847,2701.9
0.76,Premium,E,SI1,60.4,58.0,2789,5.92,5.94,3.58,0.9966329966329965,2992.4
0.76,Premium,E,SI1,61.8,58.0,2789,5.82,5.86,3.61,0.9931740614334471,2877.3
1.05,Very Good,J,SI2,63.2,56.0,2789,6.49,6.45,4.09,1.006201550387597,2929.0
0.81,Ideal,G,SI2,61.6,56.0,2789,5.97,6.01,3.69,0.9933444259567388,2799.7
0.7,Ideal,E,SI1,61.6,56.0,2789,5.72,5.75,3.53,0.9947826086956522,2811.8
0.55,Ideal,G,IF,60.9,57.0,2789,5.28,5.3,3.22,0.9962264150943397,2440.4
0.81,Good,G,SI2,61.0,61.0,2789,5.94,5.99,3.64,0.991652754590985,2579.3
0.63,Premium,E,VVS2,62.1,57.0,2789,5.48,5.41,3.38,1.0129390018484288,2964.2
0.63,Premium,E,VVS1,60.9,60.0,2789,5.55,5.52,3.37,1.0054347826086958,2792.3
0.77,Premium,H,VS1,61.3,60.0,2789,5.9,5.88,3.61,1.0034013605442178,2805.2
1.05,Fair,J,SI2,65.8,59.0,2789,6.41,6.27,4.18,1.0223285486443383,2921.6
0.64,Ideal,G,IF,61.3,56.0,2790,5.54,5.58,3.41,0.992831541218638,3027.6
0.76,Premium,I,VVS1,58.8,59.0,2790,6.0,5.94,3.51,1.01010101010101,2676.5
0.83,Ideal,F,SI2,62.3,55.0,2790,6.02,6.05,3.76,0.9950413223140495,2808.7
0.71,Premium,F,VS1,60.1,62.0,2790,5.77,5.74,3.46,1.0052264808362368,2843.0
0.71,Premium,F,VS1,61.8,59.0,2790,5.73,5.69,3.53,1.0070298769771528,2820.9
0.87,Very Good,I,SI1,63.6,55.8,2791,6.07,6.1,3.87,0.9950819672131148,2882.3
0.73,Ideal,E,SI1,62.2,56.0,2791,5.74,5.78,3.58,0.9930795847750865,2919.5
0.71,Premium,E,SI1,59.2,59.0,2792,5.83,5.86,3.46,0.9948805460750852,2733.8
0.71,Premium,E,SI1,61.8,59.0,2792,5.7,5.75,3.54,0.991304347826087,2727.9
0.71,Ideal,E,SI1,61.3,55.0,2792,5.72,5.77,3.52,0.9913344887348354,2855.8
0.7,Premium,F,VS1,62.1,60.0,2792,5.71,5.65,3.53,1.0106194690265486,2734.6
0.7,Premium,F,VS1,60.7,60.0,2792,5.78,5.75,3.5,1.0052173913043478,2800.5
0.76,Premium,H,VVS2,59.6,57.0,2792,5.91,5.86,3.51,1.0085324232081911,2839.8
0.7,Ideal,F,VS1,62.2,56.0,2792,5.73,5.68,3.55,1.0088028169014085,2714.5
0.79,Very Good,G,SI1,60.6,57.0,2793,5.98,6.06,3.65,0.986798679867987,2842.6
0.7,Very Good,E,VS2,62.9,57.0,2793,5.66,5.69,3.57,0.9947275922671353,2778.6
0.7,Good,E,VS2,64.1,55.0,2793,5.6,5.66,3.61,0.989399293286219,2693.2
0.76,Ideal,I,VS2,61.3,56.0,2793,5.87,5.91,3.61,0.9932318104906938,2725.2
